INFO 2025-01-27 21:29:30,064 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1737812481.021672
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\difflib.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1737812480.0472515
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\dtypes\dtypes.py first seen with mtime 1737813515.2774184
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1737812481.1445827
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\contextlib.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\email\mime\text.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\lib\array_utils.py first seen with mtime 1737813513.4926684
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1737812481.0691104
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1737812479.310065
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1737812481.0176723
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\computation\expressions.py first seen with mtime 1737813515.2724178
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1737812481.099032
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\_numba\__init__.py first seen with mtime 1737813515.317645
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1737812481.0885644
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1737812480.9960175
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\zipfile\_path\glob.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1737812481.064822
DEBUG 2025-01-27 21:29:30,393 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1737812479.9356902
DEBUG 2025-01-27 21:29:30,394 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\apps\registry.py first seen with mtime 1737812479.3961074
